Frame,timestep,Id,Location_x,Location_y,Location_z,Rotation_x,Rotation_y,Rotation_z
65,3.2,204,39629.1,7955.46,0.158405,39629.1,7955.46,0.158405
66,3.25,197,39633.5,17662.8,3.32847,39633.5,17662.8,3.32847
66,3.25,204,39629.2,7924.83,0.15593,39629.2,7924.83,0.15593
67,3.3,197,39633.4,17648.9,3.32717,39633.4,17648.9,3.32717
67,3.3,204,39629.2,7892.71,0.152206,39629.2,7892.71,0.152206
68,3.35,197,39633.4,17634.3,3.32566,39633.4,17634.3,3.32566
68,3.35,204,39629.3,7858.87,0.147732,39629.3,7858.87,0.147732
69,3.4,197,39633.4,17619.2,3.32446,39633.4,17619.2,3.32446
69,3.4,204,39629.4,7823.22,0.14325,39629.4,7823.22,0.14325
70,3.45,197,39633.4,17603.6,3.32327,39633.4,17603.6,3.32327
70,3.45,204,39629.5,7785.7,0.139648,39629.5,7785.7,0.139648
71,3.5,197,39633.4,17587.3,3.32371,39633.4,17587.3,3.32371
71,3.5,204,39629.6,7746.35,0.136848,39629.6,7746.35,0.136848
72,3.55,197,39633.4,17570.8,3.32734,39633.4,17570.8,3.32734
72,3.55,204,39629.7,7705.1,0.134472,39629.7,7705.1,0.134472
73,3.6,197,39633.4,17554.2,3.33428,39633.4,17554.2,3.33428
73,3.6,204,39629.8,7661.98,0.132706,39629.8,7661.98,0.132706
74,3.65,197,39633.4,17537.5,3.34255,39633.4,17537.5,3.34255
74,3.65,204,39629.8,7616.9,0.131023,39629.8,7616.9,0.131023
75,3.7,197,39633.4,17520.8,3.35065,39633.4,17520.8,3.35065
75,3.7,204,39629.9,7569.83,0.129364,39629.9,7569.83,0.129364
76,3.75,197,39633.4,17504.2,3.35682,39633.4,17504.2,3.35682
76,3.75,204,39630.1,7520.77,0.128132,39630.1,7520.77,0.128132
77,3.8,197,39633.3,17487.4,3.36086,39633.3,17487.4,3.36086
77,3.8,204,39630.2,7469.82,0.127827,39630.2,7469.82,0.127827
78,3.85,197,39633.3,17470.6,3.36252,39633.3,17470.6,3.36252
78,3.85,204,39630.3,7417.06,0.128155,39630.3,7417.06,0.128155
79,3.9,197,39633.3,17453.6,3.36274,39633.3,17453.6,3.36274
79,3.9,204,39630.4,7362.55,0.128841,39630.4,7362.55,0.128841
80,3.95,197,39633.3,17436.3,3.36078,39633.3,17436.3,3.36078
80,3.95,204,39630.5,7306.33,0.129707,39630.5,7306.33,0.129707
81,4,197,39633.3,17418.7,3.3579,39633.3,17418.7,3.3579
81,4,204,39630.6,7248.42,0.130638,39630.6,7248.42,0.130638
82,4.05,197,39633.2,17400.7,3.35456,39633.2,17400.7,3.35456
82,4.05,204,39630.6,7188.92,0.131943,39630.6,7188.92,0.131943
83,4.1,197,39633.2,17382.4,3.35212,39633.2,17382.4,3.35212
83,4.1,204,39630.7,7128.17,0.1353,39630.7,7128.17,0.1353
84,4.15,197,39633.2,17363.8,3.3496,39633.2,17363.8,3.3496
84,4.15,204,39630.8,7066.83,0.142109,39630.8,7066.83,0.142109
85,4.2,197,39633.2,17344.8,3.34833,39633.2,17344.8,3.34833
85,4.2,204,39630.9,7005.54,0.151913,39630.9,7005.54,0.151913
86,4.25,197,39633.2,17325.5,3.34769,39633.2,17325.5,3.34769
86,4.25,204,39631.0,6944.76,0.162766,39631.0,6944.76,0.162766
87,4.3,197,39633.2,17306.0,3.34764,39633.2,17306.0,3.34764
87,4.3,204,39631.0,6884.73,0.173195,39631.0,6884.73,0.173195
88,4.35,197,39633.2,17286.2,3.34839,39633.2,17286.2,3.34839
88,4.35,204,39631.1,6825.61,0.182423,39631.1,6825.61,0.182423
89,4.4,197,39633.2,17266.2,3.35068,39633.2,17266.2,3.35068
89,4.4,204,39631.1,6767.5,0.19014,39631.1,6767.5,0.19014
90,4.45,197,39633.2,17246.2,3.35374,39633.2,17246.2,3.35374
90,4.45,204,39631.2,6710.45,0.196411,39631.2,6710.45,0.196411
91,4.5,197,39633.2,17226.1,3.3572,39633.2,17226.1,3.3572
91,4.5,204,39631.2,6654.44,0.201118,39631.2,6654.44,0.201118
92,4.55,197,39633.1,17205.9,3.36086,39633.1,17205.9,3.36086
92,4.55,204,39631.2,6599.45,0.204449,39631.2,6599.45,0.204449
93,4.6,197,39633.1,17185.8,3.36397,39633.1,17185.8,3.36397
93,4.6,204,39631.3,6545.33,0.206078,39631.3,6545.33,0.206078
94,4.65,197,39633.1,17165.5,3.36586,39633.1,17165.5,3.36586
94,4.65,204,39631.4,6491.94,0.20615,39631.4,6491.94,0.20615
95,4.7,197,39633.1,17145.2,3.36597,39633.1,17145.2,3.36597
95,4.7,204,39631.4,6438.99,0.204399,39631.4,6438.99,0.204399
96,4.75,197,39633.1,17124.6,3.36486,39633.1,17124.6,3.36486
96,4.75,204,39631.5,6386.24,0.20126,39631.5,6386.24,0.20126
97,4.8,197,39633.0,17103.9,3.36343,39633.0,17103.9,3.36343
97,4.8,204,39631.6,6333.38,0.196732,39631.6,6333.38,0.196732
98,4.85,197,39633.0,17082.8,3.36013,39633.0,17082.8,3.36013
98,4.85,204,39631.6,6280.17,0.191486,39631.6,6280.17,0.191486
99,4.9,197,39633.0,17061.4,3.35517,39633.0,17061.4,3.35517
99,4.9,204,39631.7,6226.39,0.185818,39631.7,6226.39,0.185818
100,4.95,197,39633.0,17039.4,3.34946,39633.0,17039.4,3.34946
100,4.95,204,39631.8,6171.9,0.180508,39631.8,6171.9,0.180508
101,5,197,39633.0,17016.9,3.34431,39633.0,17016.9,3.34431
101,5,204,39631.9,6116.65,0.175953,39631.9,6116.65,0.175953
102,5.05,197,39633.0,16994.0,3.34153,39633.0,16994.0,3.34153
102,5.05,204,39631.9,6060.7,0.172775,39631.9,6060.7,0.172775
103,5.1,197,39633.0,16970.9,3.3424,39633.0,16970.9,3.3424
103,5.1,204,39632.0,6004.15,0.171085,39632.0,6004.15,0.171085
104,5.15,197,39633.0,16947.5,3.3448,39633.0,16947.5,3.3448
104,5.15,204,39632.1,5947.18,0.170937,39632.1,5947.18,0.170937
105,5.2,197,39633.0,16923.9,3.34586,39633.0,16923.9,3.34586
105,5.2,204,39632.1,5889.93,0.17197,39632.1,5889.93,0.17197
106,5.25,197,39632.9,16899.9,3.34492,39632.9,16899.9,3.34492
106,5.25,204,39632.2,5832.59,0.173996,39632.2,5832.59,0.173996
107,5.3,197,39632.9,16875.4,3.34311,39632.9,16875.4,3.34311
107,5.3,204,39632.3,5775.28,0.17654,39632.3,5775.28,0.17654
108,5.35,197,39632.9,16850.5,3.34222,39632.9,16850.5,3.34222
108,5.35,204,39632.3,5718.14,0.179512,39632.3,5718.14,0.179512
109,5.4,197,39632.9,16825.4,3.3643,39632.9,16825.4,3.3643
109,5.4,204,39632.4,5661.27,0.182465,39632.4,5661.27,0.182465
110,5.45,197,39632.9,16800.0,3.37529,39632.9,16800.0,3.37529
110,5.45,204,39632.4,5604.74,0.185322,39632.4,5604.74,0.185322
111,5.5,197,39632.9,16774.7,3.37906,39632.9,16774.7,3.37906
111,5.5,204,39632.5,5548.58,0.187702,39632.5,5548.58,0.187702
112,5.55,197,39632.8,16749.2,3.38356,39632.8,16749.2,3.38356
112,5.55,204,39632.6,5492.8,0.189674,39632.6,5492.8,0.189674
113,5.6,197,39632.8,16724.0,3.38421,39632.8,16724.0,3.38421
113,5.6,204,39632.6,5437.37,0.19088,39632.6,5437.37,0.19088
114,5.65,197,39632.8,16698.0,3.37836,39632.8,16698.0,3.37836
114,5.65,204,39632.7,5382.24,0.191528,39632.7,5382.24,0.191528
115,5.7,197,39632.8,16672.1,3.38293,39632.8,16672.1,3.38293
115,5.7,204,39632.8,5327.31,0.191402,39632.8,5327.31,0.191402
116,5.75,197,39632.8,16646.7,3.39164,39632.8,16646.7,3.39164
116,5.75,204,39632.9,5272.53,0.190769,39632.9,5272.53,0.190769
117,5.8,197,39632.7,16621.4,3.39597,39632.7,16621.4,3.39597
117,5.8,204,39632.9,5217.78,0.18956,39632.9,5217.78,0.18956
118,5.85,197,39632.7,16596.2,3.39904,39632.7,16596.2,3.39904
118,5.85,204,39633.0,5162.99,0.188091,39633.0,5162.99,0.188091
119,5.9,197,39632.7,16569.8,3.3733,39632.7,16569.8,3.3733
119,5.9,204,39633.0,5108.07,0.186325,39633.0,5108.07,0.186325
120,5.95,197,39632.7,16541.6,3.34482,39632.7,16541.6,3.34482
120,5.95,204,39633.1,5052.98,0.184654,39633.1,5052.98,0.184654
121,6,197,39632.7,16512.5,3.33132,39632.7,16512.5,3.33132
121,6,204,39633.2,4997.67,0.182995,39633.2,4997.67,0.182995
122,6.05,197,39632.6,16483.5,3.34071,39632.6,16483.5,3.34071
122,6.05,204,39633.3,4942.14,0.181698,39633.3,4942.14,0.181698
123,6.1,197,39632.6,16454.9,3.35846,39632.6,16454.9,3.35846
123,6.1,204,39633.3,4886.38,0.180679,39633.3,4886.38,0.180679
124,6.15,197,39632.6,16426.6,3.3731,39632.6,16426.6,3.3731
124,6.15,204,39633.4,4830.44,0.180176,39633.4,4830.44,0.180176
125,6.2,197,39632.6,16398.6,3.38488,39632.6,16398.6,3.38488
125,6.2,204,39633.4,4774.35,0.180012,39633.4,4774.35,0.180012
126,6.25,197,39632.6,16370.7,3.39023,39632.6,16370.7,3.39023
126,6.25,204,39633.5,4718.17,0.180298,39633.5,4718.17,0.180298
127,6.3,197,39632.6,16342.8,3.39342,39632.6,16342.8,3.39342
127,6.3,204,39633.6,4661.94,0.180832,39633.6,4661.94,0.180832
128,6.35,197,39632.5,16314.9,3.39203,39632.5,16314.9,3.39203
128,6.35,204,39633.7,4605.72,0.181675,39633.7,4605.72,0.181675
129,6.4,197,39632.5,16286.8,3.39045,39632.5,16286.8,3.39045
129,6.4,204,39633.7,4549.54,0.182575,39633.7,4549.54,0.182575
130,6.45,197,39632.5,16258.5,3.38604,39632.5,16258.5,3.38604
130,6.45,204,39633.8,4493.46,0.183613,39633.8,4493.46,0.183613
131,6.5,197,39632.4,16230.0,3.38269,39632.4,16230.0,3.38269
131,6.5,204,39633.9,4437.49,0.184505,39633.9,4437.49,0.184505
132,6.55,197,39632.4,16201.2,3.37759,39632.4,16201.2,3.37759
132,6.55,204,39633.9,4381.64,0.185387,39633.9,4381.64,0.185387
133,6.6,197,39632.4,16172.1,3.37419,39632.4,16172.1,3.37419
133,6.6,204,39634.0,4325.91,0.185966,39634.0,4325.91,0.185966
